SN,Movie,Worldwide,India Net,India Gross,Overseas,Budget,Verdict
428,Soorma,47,32.04,41,6,32,Above Average
429,Commando 3,9.8,32.04,7.8,2,40,Above Average
430,Shehzada,47.8,32.02,37.8,10,65,Flop
431,Jigra,56.93,31.77,38.43,18.5,1,None
432,Dhoom,50.5,31.45,46.5,4,11,SuperHit
433,Karthikeya 2,117.87,31.35,102.37,15.5,15,Blockbuster
434,Thor: Love And Thunder,6295,31.33,125.75,3455,1900,Hit
435,Baar Baar Dekho,62.6,31.24,42.17,20.43,53,Flop
436,Vivah,48.61,31.2,43.68,4.93,8,Blockbuster
437,Patiala House,55,31.17,42.05,12.95,30,Flop
438,Bhoot Part One,39.5,31.1,36.5,3,50,Flop
439,Doctor Strange In The Multiverse Of Madness,8000,30.98,158.7,4500,1500,Hit
440,Jab We Met,48.87,30.85,41.65,7.22,15,Hit
441,Highway,52.44,30.65,41.37,11.07,25,Hit
442,Thappad,43,30.53,36,7,22,Average
443,Talvar,47.2,30.49,41.16,6.04,15,Hit
444,Delhi-6,50.11,30.43,39.55,10.56,40,Flop
445,Raaz Reboot,43,30.31,40.91,2.09,31,Flop
446,Peepli Live,47.78,30.27,40.86,6.92,12,Hit
447,Paa,46.91,30.25,40.84,6.07,18,Hit
448,Jism 2,42.59,30.23,40.81,1.78,11,Hit
449,Ittefaq,51.47,30.21,38.73,12.74,20,Average
450,Dum Laga Ke Haisha,42.79,30.01,40.51,2.28,12,Hit
451,Jannat,40.39,29.93,40.39,0,10,SuperHit
452,Mission: Impossible - The Final Reckoning,4825.59,29.71,123.59,3225,1,Hit
453,Golmaal: Fun Unlimited,46.7,29.54,39.88,6.82,11,SuperHit
454,Mausam,52.29,29.53,39.87,12.42,45,Flop
455,Shootout at Lokhandwala,44.76,29.5,39.83,4.93,17,Above Average
456,Tashan,51.6,29.44,39.61,11.99,31,Average
457,Chandni Chowk to China,53.45,29.42,37.78,15.67,65,Disaster
458,Mujhse Shaadi Karogi,55.97,29.24,39.47,16.5,19,Hit
459,Guzaarish,53.85,29.1,39.29,14.56,55,Disaster
460,Action Replayy,48,29.06,39.23,8.77,55,Flop
461,Garam Masala,54.66,29.02,39.15,15.51,17,Hit
462,Lootera,46.3,29,39.15,7.15,30,Flop
463,Dil Toh Baccha Hai Ji,40.8,28.92,39.04,1.76,27,Below Average
464,Ferrari Ki Sawaari,44.61,28.92,37.69,6.92,15,Hit
465,Happy Bhaag Jayegi,46.5,28.82,40,6.5,20,Hit
466,Akira,43.9,28.76,38.83,5.07,30,Flop
467,Pari,39,28.7,36.67,2.33,30,Above Average
468,Players,47.2,28.67,38.7,8.5,55,Disaster
469,London Dreams,45.34,28.62,38.64,6.7,45,Flop
470,PM Narendra Modi,35.2,28.51,33.7,1.5,20,Above Average
471,Ishqiya,39.84,28.32,38.23,1.61,18,Hit
472,Baazaar,40,28.26,36,4,35,Below Average
473,Kyaa Kool Hain Hum 3,38,28.01,36.73,1.27,25,Average
474,Doctor G,44.01,27.98,33.01,11,25,None
475,No Problem,44.2,27.92,37.56,6.64,35,Flop
476,Manmarziyaan,41.5,27.8,35.5,6,30,Flop
477,Wake Up Sid,47,27.74,36,11,18,Hit
478,No One Killed Jessica,43.9,27.66,37.34,6.56,15,Hit
479,Mangal Pandey: The Rising,51.13,27.66,37.34,13.79,34,Flop
480,Sanam Re,39,27.65,37.33,1.67,25,Average
481,Panga,40,27.34,32,8,49,Flop
482,Dedh Ishqiya,43.73,27.24,36.77,6.96,35,Flop
483,Sarbjit,41.5,27.21,36.74,4.76,30,Flop
484,Leo,605.9,27.17,401.9,204,250,Blockbuster
485,Force,40.28,27.16,36.66,3.62,28,Flop
486,Jawaani Jaaneman,42,27.15,32.5,9.5,40,None
487,Jhoom Barabar Jhoom,48.1,27.05,36.52,11.58,25,Below Average
488,Hate Story 2,36.4,26.96,36.4,0,15,Above Average
489,Detective Byomkesh Bakshy,43.9,26.83,36.22,7.68,35,Flop
490,Tadap,33,26.81,30.9,2.1,20,None
491,Malamaal Weekly,41.7,26.7,36.05,5.65,6,SuperHit
492,Raja Natwarlal,44.27,26.6,35.91,8.36,45,Disaster
493,Singh Saab The Great,38,26.44,35.69,2.31,35,Flop
494,Ek Paheli Leela,36,26.35,35.57,0.43,20,Average
495,Fashion,38.74,26.25,35.44,3.3,18,Above Average
496,The Hero: Love Story of a Spy,44.08,26.05,40.43,3.65,33,Below Average
497,Salaam Namaste,55.98,26.01,35.11,20.87,10,Hit
498,Khakee,45,25.84,34.81,10.19,26,Average
499,Karan Arjun,43.1,25.75,41.5,1.6,6,Blockbuster
500,Karthik Calling Karthik,38.47,25.68,34.67,3.8,20,Below Average
501,Raabta,39.08,25.67,35.65,3.43,45,Flop
